date,open,high,low,close,volume
2015-03-18,44.78535299639374,46.95777683577105,44.050072101483174,44.46784591674805,3820016
2015-03-19,44.51797512944798,44.91903695768524,42.14502045428489,42.312129974365234,1106016
2015-03-20,42.42910568660591,44.78535091515744,42.42910568660591,44.116912841796875,7578764
2015-03-23,44.11690790563243,44.11690790563243,41.77737491063677,43.2646484375,1062750
2015-03-24,42.96385101495909,44.08348154111598,41.994615460364436,42.51265335083008,608816
2015-03-25,42.11159379643165,43.08082685183547,40.44049880450976,40.858272552490234,1115040
2015-03-26,40.85828043350751,42.98057352252122,40.77472566779482,42.629642486572266,943998
2015-03-27,43.14767822714295,43.782692335610996,41.443159157372236,41.977909088134766,1020874
2015-03-30,42.445824435840926,43.41505775706286,42.111605345794935,42.89702224731445,449416
2015-03-31,42.98057440435514,44.21718394231894,42.98057440435514,43.86625289916992,790970
2015-04-01,43.8161130236398,44.68507936543399,43.38162730285409,43.949798583984375,480470
2015-04-06,44.116912959172176,44.116912959172176,42.8134607525623,43.4484748840332,286508
2015-04-07,43.548743553231255,44.45113397487077,43.0474149745673,43.49860763549805,1213370
2015-04-08,43.765983897407764,43.98322934136229,42.89701742092372,43.49860763549805,570794
2015-04-09,43.782694358376745,44.41770849618253,43.18109906479463,43.48189926147461,509908
2015-04-10,43.48189646119832,43.649005970888126,42.8134584224391,42.980567932128906,333606
2015-04-13,42.98057131386354,43.71585219439548,42.596216351469224,42.947147369384766,284854
2015-04-15,43.114252847358294,43.4484718616789,42.12830777506799,42.54608154296875,305662
2015-04-16,42.796749511335776,43.732563852461716,42.011332719728074,43.21452331542969,439362
2015-04-17,42.880310272856434,43.43176973152088,42.01133859882542,42.89702224731445,431872
2015-04-20,43.03069995320117,43.03069995320117,41.626981052353244,42.39568328857422,323886
2015-04-21,42.679767976591144,42.679767976591144,39.905751631259434,40.49063491821289,967936
2015-04-22,40.77472057618396,41.10893959730022,39.972594415527176,40.49063491821289,512014
2015-04-23,40.85828247279,41.27605632220504,40.30682048158432,40.74130630493164,137192
2015-04-24,41.409737026949976,43.0474107325142,40.27339185064692,41.342891693115234,3892702
2015-04-27,41.00867432039722,41.7105363294586,39.020072094426936,39.922462463378906,607360
2015-04-28,40.10628311154051,40.10628311154051,38.26807846892824,39.0869140625,868772
2015-04-29,39.35429153437022,41.342893780907254,39.22060340983832,40.82485580444336,378988
2015-04-30,41.19250060552527,41.19250060552527,39.4712718755194,39.88904571533203,263874
2015-05-04,40.7747165918129,41.6102640629566,39.93916912066919,40.95853805541992,308012
2015-05-05,41.159071277061024,41.35960217155142,40.18983564548734,40.55747604370117,183906
2015-05-06,40.3736529351729,40.40707432247603,37.95056538231423,38.33491516113281,474916
2015-05-07,38.3683485541353,39.103629455566406,37.13173652005149,37.59964370727539,356996
2015-05-08,37.90043389753589,39.070200360114846,37.39910541357348,37.61634826660156,846062
2015-05-11,38.10096524576237,38.769403232530124,37.76674625237848,38.034122467041016,165332
2015-05-12,38.100973799071255,38.70256914217014,37.19858333431207,38.20124053955078,479440
2015-05-13,38.43519164883721,38.76941070665319,37.29884634228509,37.81688690185547,4156134
2015-05-14,37.76674839488247,38.435186419570655,37.5160841356244,38.10096740722656,624644
2015-05-15,37.7834613393179,40.00601578878115,37.7834613393179,39.621665954589844,541028
2015-05-18,39.93917484804451,41.19249623448942,39.337579562595394,40.82485580444336,372668
2015-05-19,41.24262949518507,41.24262949518507,39.77206522884658,40.139705657958984,120522
2015-05-20,40.59089326425634,41.159067048476416,40.106276773202175,40.34022903442383,302520
2015-05-21,40.457215950472666,41.74395874890042,40.29010642990051,41.64369201660156,408670
2015-05-22,42.02804361271799,42.11159837139138,41.008674536947005,41.292762756347656,181172
2015-05-25,41.326183730404416,42.52937173311193,41.3094717588838,41.74395751953125,240882
2015-05-26,42.36226218704655,43.11425500693495,41.57684797402977,42.997276306152344,562316
2015-05-27,42.74661399122831,43.448473436767564,42.2452854515733,42.66305923461914,545016
2015-05-28,42.54607986195615,42.78003214278154,39.053489770366205,41.07551574707031,2515236
2015-05-29,41.27605099358575,41.4431605117784,40.306815278090575,40.82485580444336,842988
2015-06-01,40.60760838385616,41.008670162753624,39.47126327712856,39.52139663696289,418146
2015-06-02,39.92246100263154,40.524056259846624,38.61900886181347,39.137046813964844,1528908
2015-06-03,39.42113803215698,40.44050720903458,36.078947353724374,38.58559036254883,807804
2015-06-04,38.76940763980971,38.76940763980971,36.16249817510834,36.429874420166016,542704
2015-06-05,36.42987716467672,37.3322675974241,36.162500899475766,36.93120574951172,1244760
2015-06-08,36.764090551088934,37.16515233714536,35.7948549265825,36.596981048583984,198448
2015-06-09,36.7640956078614,37.34897894707737,35.47735277156405,36.98133850097656,148672
2015-06-10,37.43253966593887,37.43253966593887,35.81157752073993,35.96197509765625,859844
2015-06-11,36.062232429628835,36.396451446493074,35.260106279176924,35.828277587890625,277070
2015-06-12,35.7614294116547,35.7614294116547,34.792193898931245,35.0428581237793,266084
2015-06-15,35.24339190937357,35.56090148371508,34.056916010201746,34.207313537597656,570942
2015-06-16,34.09034406721903,35.059579849696206,33.88981314150732,34.52482986450195,473180
2015-06-17,34.558246394404705,35.326948593041905,34.35771549692929,34.541534423828125,670798
2015-06-18,34.75878246252407,34.976025362892656,33.1712419173607,33.572303771972656,912638
2015-06-19,33.75611817207843,33.93993963752537,30.163264010198798,31.31631851196289,1966928
2015-06-22,32.25214082652235,33.906524232383106,31.5168598794485,33.2882194519043,972276
2015-06-23,33.405185315147904,34.173889972629404,32.41924036523278,33.47203063964844,610102
2015-06-24,33.488748927608995,33.92323472732345,32.803601381768914,33.37177276611328,824566
2015-06-25,33.672571899193024,34.357722024789844,33.12110991394304,33.2882194519043,416172
2015-06-26,33.5555925455421,33.5555925455421,32.75346632953489,32.85373306274414,357812
2015-06-29,32.41924925191947,33.4219064452778,31.968054024886037,32.51951599121094,342420
2015-06-30,32.75346499352588,32.87044114423928,32.10173890391636,32.26884841918945,507458
2015-07-01,32.38581516007423,35.1932547109271,32.1518603767351,34.12375259399414,5457460
2015-07-02,34.42455676994701,35.24339229451944,33.63914263517351,33.75611877441406,4015680
2015-07-03,33.95665183222383,34.758777988080354,33.28821379399151,33.82296371459961,529766
2015-07-06,33.43861295499576,34.39113662307764,32.987415251793415,33.655853271484375,669686
2015-07-07,33.8898057897133,34.39113427018277,33.4218986979641,34.056915283203125,638772
2015-07-08,34.05691738438844,35.00944104606989,33.82296254913545,34.792198181152344,2256566
2015-07-09,35.026156674875324,35.945259041774456,34.09034233589517,34.39113998413086,647578
2015-07-10,34.675221526414674,34.892464388124154,33.27150273518033,33.505455017089844,466948
2015-07-13,33.82296277640712,33.82296277640712,32.9539938607866,33.655853271484375,412484
2015-07-14,33.923231490911895,34.641802914243954,33.65585524738267,33.80625534057617,322440
2015-07-15,34.02350038352031,34.424562224431874,33.65585738781421,33.87310028076172,222876
2015-07-16,33.889808262600916,35.176550946386484,33.82296293039428,34.34100341796875,2033338
2015-07-17,34.54153348236914,34.82561912520704,34.1906050588242,34.37442398071289,248022
2015-07-20,34.57496446584643,34.59167644060439,33.421909604448686,33.63915252685547,431070
2015-07-21,33.83968047595887,34.69194011530904,33.421906642922345,33.60572814941406,580812
2015-07-22,34.424557938943714,36.22934109814762,33.889808034335914,35.47734832763672,2507890
2015-07-23,35.293528896852095,37.59964070329885,35.0929979897456,37.081600189208984,3243116
2015-07-24,37.353629064592994,37.98270651322547,36.75855531155659,36.945579528808594,928314
2015-07-27,36.94558713312225,38.73080875967411,35.56841512634147,37.03059768676758,1231410
2015-07-28,36.82657327907615,38.01672104310869,36.82657327907615,37.40464401245117,2009636
2015-07-29,37.67667829970791,39.42789362406726,37.506657192930014,39.18986511230469,1343260
2015-07-30,39.30887812307732,40.22699362718637,38.764811117484626,39.971961975097656,1011012
2015-07-31,40.12498041691696,40.36300892403662,39.52990655480167,40.09097671508789,532720
2015-08-03,40.260997818549406,40.66904742913057,39.51290340672906,40.09097671508789,849386
2015-08-04,38.74780531245996,40.36300566492495,37.4046397412944,39.784934997558594,1994446
2015-08-05,40.26099056435568,41.96120129262817,39.81893473727855,41.315120697021484,3498258
2015-08-06,41.58715925961218,42.50527209922916,41.24711708281834,41.485145568847656,1300200
2015-08-07,41.53615694260706,41.82519230553,40.4820265984854,40.83906936645508,699620
2015-08-10,41.281117001319174,41.655162842675985,40.975078551366984,41.315120697021484,1617338
2015-08-11,41.485142406663684,44.188476468388025,39.61491057685508,40.243988037109375,3433012
2015-08-12,40.243988037109375,40.243988037109375,40.243988037109375,40.243988037109375,0
2015-08-13,40.63504535348749,41.179112387474284,38.4247709200342,39.937957763671875,829620
2015-08-14,40.12497605737408,40.46501822735183,39.71692649112713,40.22698974609375,260998
2015-08-17,40.34600382321487,41.55315196515421,40.12497589476191,41.24711608886719,843882
2015-08-18,41.34912715573126,43.15135168585358,41.04308868532915,41.417137145996094,450596
2015-08-19,41.34913149562491,41.655169998148,40.80506448798171,41.36613464355469,328552
2015-08-20,41.060092039061466,41.94420116244723,39.954954986250286,40.1419792175293,935860
2015-08-21,39.444884745560664,40.465011075187235,38.76480052580962,40.260986328125,366728
2015-08-24,38.4247637549832,39.29187229337506,37.77868313758493,38.49277114868164,825214
2015-08-25,40.60103306462301,40.60103306462301,35.87444667987995,37.74467849731445,1342638
2015-08-26,37.40463641805386,38.69679762294928,36.41851366635112,37.06459426879883,2426774
2015-08-27,37.404646718670314,38.424773447361325,37.06460447577331,37.591670989990234,1573642
2015-08-28,38.08472064593891,38.288745416250435,37.08159734522305,37.74467849731445,1116366
2015-08-31,37.625665412349214,37.625665412349214,36.0784725511673,36.87757110595703,349488
2015-09-01,36.62254738583263,36.62254738583263,35.704434396227605,35.94246292114258,1166114
2015-09-02,35.77243611138997,36.078474590654345,34.378263699536646,35.04134750366211,916936
2015-09-03,34.718309805985854,36.87757736315387,34.718309805985854,36.2655029296875,301216
2015-09-04,36.21449731967033,36.55453954802404,35.10936007752076,35.65342712402344,334426
2015-09-07,35.70442528820282,36.044467433804755,35.09234838839307,35.75543212890625,152862
2015-09-08,35.483400714613,35.772436046717274,35.04134744031114,35.38138961791992,185308
2015-09-09,36.04447504687323,36.33351041281981,35.58541857221498,36.01047134399414,313342
2015-09-10,35.67043379421991,36.724564287307075,35.1093635431894,36.33351516723633,451916
2015-09-11,36.46953140528142,37.03060163807212,36.129489154416326,36.69055938720703,455950
2015-09-14,36.690559430061995,36.690559430061995,32.89908780962441,35.29638671875,397906
2015-09-15,35.29638671875,35.29638671875,35.29638671875,35.29638671875,0
2015-09-16,35.942456947865516,36.622541299532344,35.50040367587163,36.40151596069336,294928
2015-09-18,36.537524139275774,37.2176083677914,35.44939041137695,36.21448516845703,4470406
2015-09-21,36.231499759160556,38.05072512635711,36.21449661034938,37.86370086669922,428306
2015-09-22,38.067720313519246,39.206863671032465,37.404639112434275,37.676673889160156,329526
2015-09-23,37.6766792013576,38.0847288296632,36.996594757970755,37.86370086669922,306394
2015-09-24,38.08472729226372,38.764811708197,37.33663547246358,37.761688232421875,178316
2015-09-28,38.084724409277555,39.01984041039821,37.74468222705187,38.169734954833984,338734
2015-09-29,38.69680532042382,39.51290456551981,37.50665756128989,37.91470718383789,600984
2015-09-30,37.43864718119122,38.33975956567794,37.132608670229445,37.455650329589844,280052
2015-10-01,38.764808654785156,39.172858234477566,38.271748529797165,38.764808654785156,835330
2015-10-05,39.41089693954943,39.51290805704244,38.5947950280231,39.1048583984375,390986
2015-10-06,39.325886377813696,39.76793974224964,38.96884098079703,39.1048583984375,335832
2015-10-07,39.12185320705411,43.01533506666632,38.900825274804895,40.17598342895508,2322736
2015-10-08,40.60103232756413,40.60103232756413,39.461891669214964,39.75092697143555,645716
2015-10-09,40.056970609067,41.995210034469984,39.631917875924586,40.78805923461914,2742358
