date,open,high,low,close,volume
2015-01-01,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,37225
2015-01-02,2.5,2.5,2.5,2.5,28722
2015-01-05,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,21092
2015-01-06,2.700000047683716,2.700000047683716,2.5,2.549999952316284,582958
2015-01-07,2.5,2.6500000953674316,2.450000047683716,2.6500000953674316,303413
2015-01-08,2.75,2.75,2.75,2.75,70787
2015-01-09,2.8499999046325684,2.8499999046325684,2.75,2.8499999046325684,721512
2015-01-12,2.950000047683716,2.950000047683716,2.9000000953674316,2.950000047683716,247072
2015-01-13,3.049999952316284,3.049999952316284,2.950000047683716,3.049999952316284,123954
2015-01-14,3.1500000953674316,3.200000047683716,3.1500000953674316,3.200000047683716,127840
2015-01-15,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.3499999046325684,22426
2015-01-16,3.5,3.5,3.450000047683716,3.5,188659
2015-01-19,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,44401
2015-01-20,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,152939
2015-01-21,3.950000047683716,3.950000047683716,3.6500000953674316,3.6500000953674316,698061
2015-01-22,3.5,3.5999999046325684,3.5,3.5,588456
2015-01-23,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.3499999046325684,266607
2015-01-27,3.200000047683716,3.200000047683716,3.200000047683716,3.200000047683716,39663
2015-01-28,3.049999952316284,3.3499999046325684,3.049999952316284,3.25,499579
2015-01-29,3.299999952316284,3.3499999046325684,3.0999999046325684,3.200000047683716,203058
2015-01-30,3.3499999046325684,3.3499999046325684,3.200000047683716,3.3499999046325684,165508
2015-02-02,3.4000000953674316,3.5,3.4000000953674316,3.5,72701
2015-02-03,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,93122
2015-02-04,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,105650
2015-02-05,3.950000047683716,3.950000047683716,3.6500000953674316,3.6500000953674316,400633
2015-02-06,3.5,3.700000047683716,3.5,3.5,435455
2015-02-09,3.5,3.5999999046325684,3.3499999046325684,3.3499999046325684,87208
2015-02-10,3.5,3.5,3.200000047683716,3.25,90870
2015-02-11,3.3499999046325684,3.4000000953674316,3.1500000953674316,3.4000000953674316,87949
2015-02-12,3.450000047683716,3.549999952316284,3.299999952316284,3.3499999046325684,92402
2015-02-13,3.299999952316284,3.5,3.299999952316284,3.3499999046325684,55859
2015-02-16,3.200000047683716,3.5,3.200000047683716,3.200000047683716,65854
2015-02-18,3.25,3.3499999046325684,3.0999999046325684,3.200000047683716,199417
2015-02-19,3.3499999046325684,3.3499999046325684,3.0999999046325684,3.299999952316284,117836
2015-02-20,3.200000047683716,3.450000047683716,3.200000047683716,3.4000000953674316,194832
2015-02-23,3.3499999046325684,3.5,3.3499999046325684,3.4000000953674316,57720
2015-02-24,3.5,3.5,3.299999952316284,3.4000000953674316,68937
2015-02-25,3.299999952316284,3.4000000953674316,3.25,3.299999952316284,94625
2015-02-26,3.200000047683716,3.4000000953674316,3.1500000953674316,3.200000047683716,29157
2015-02-27,3.3499999046325684,3.3499999046325684,3.049999952316284,3.1500000953674316,126481
2015-03-02,3.3499999046325684,3.3499999046325684,3.049999952316284,3.0999999046325684,105831
2015-03-03,3.049999952316284,3.1500000953674316,2.950000047683716,2.950000047683716,56815
2015-03-04,2.950000047683716,2.950000047683716,2.8499999046325684,2.8499999046325684,25496
2015-03-05,2.75,2.75,2.75,2.75,64840
2015-03-09,2.6500000953674316,2.75,2.6500000953674316,2.6500000953674316,38956
2015-03-10,2.549999952316284,2.700000047683716,2.549999952316284,2.700000047683716,140710
2015-03-11,2.799999952316284,2.799999952316284,2.5999999046325684,2.6500000953674316,110919
2015-03-12,2.700000047683716,2.700000047683716,2.549999952316284,2.5999999046325684,59172
2015-03-13,2.700000047683716,2.700000047683716,2.549999952316284,2.5999999046325684,44064
2015-03-16,2.549999952316284,2.700000047683716,2.549999952316284,2.549999952316284,70785
2015-03-17,2.5999999046325684,2.5999999046325684,2.450000047683716,2.5,87873
2015-03-18,2.5999999046325684,2.5999999046325684,2.4000000953674316,2.450000047683716,37962
2015-03-19,2.3499999046325684,2.5,2.3499999046325684,2.3499999046325684,94694
2015-03-20,2.4000000953674316,2.4000000953674316,2.25,2.25,37257
2015-03-23,2.1500000953674316,2.299999952316284,2.1500000953674316,2.1500000953674316,50224
2015-03-24,2.0999999046325684,2.25,2.049999952316284,2.049999952316284,104254
2015-03-25,2.0,2.1500000953674316,2.0,2.0999999046325684,65406
2015-03-26,2.200000047683716,2.200000047683716,2.049999952316284,2.200000047683716,17413
2015-03-27,2.299999952316284,2.299999952316284,2.0999999046325684,2.1500000953674316,53358
2015-03-30,2.25,2.25,2.049999952316284,2.1500000953674316,56101
2015-03-31,2.0999999046325684,2.200000047683716,2.049999952316284,2.0999999046325684,35880
2015-04-01,2.200000047683716,2.200000047683716,2.049999952316284,2.200000047683716,33955
2015-04-06,2.299999952316284,2.299999952316284,2.0999999046325684,2.299999952316284,54649
2015-04-07,2.299999952316284,2.4000000953674316,2.299999952316284,2.4000000953674316,5485
2015-04-08,2.4000000953674316,2.5,2.4000000953674316,2.5,3114
2015-04-09,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,532
2015-04-10,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,18971
2015-04-13,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,35633
2015-04-15,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,19094
2015-04-16,3.0,3.0,3.0,3.0,46392
2015-04-17,3.1500000953674316,3.1500000953674316,2.8499999046325684,2.8499999046325684,228743
2015-04-20,2.75,2.950000047683716,2.75,2.75,88320
2015-04-21,2.799999952316284,2.799999952316284,2.6500000953674316,2.6500000953674316,45917
2015-04-22,2.549999952316284,2.6500000953674316,2.549999952316284,2.549999952316284,75968
2015-04-23,2.5,2.6500000953674316,2.5,2.6500000953674316,60856
2015-04-24,2.6500000953674316,2.75,2.549999952316284,2.549999952316284,78886
2015-04-27,2.549999952316284,2.5999999046325684,2.450000047683716,2.450000047683716,89063
2015-04-28,2.3499999046325684,2.5,2.3499999046325684,2.3499999046325684,118428
2015-04-29,2.450000047683716,2.450000047683716,2.25,2.3499999046325684,83509
2015-04-30,2.4000000953674316,2.450000047683716,2.3499999046325684,2.450000047683716,78195
2015-05-04,2.450000047683716,2.6500000953674316,2.3499999046325684,2.6500000953674316,131210
2015-05-05,2.799999952316284,2.799999952316284,2.6500000953674316,2.700000047683716,17320
2015-05-06,2.5999999046325684,2.700000047683716,2.450000047683716,2.450000047683716,98545
2015-05-07,2.4000000953674316,2.450000047683716,2.25,2.25,104725
2015-05-08,2.3499999046325684,2.450000047683716,2.25,2.450000047683716,41491
2015-05-11,2.3499999046325684,2.6500000953674316,2.3499999046325684,2.450000047683716,43764
2015-05-12,2.5,2.5,2.299999952316284,2.3499999046325684,23355
2015-05-13,2.4000000953674316,2.549999952316284,2.299999952316284,2.299999952316284,23952
2015-05-14,2.299999952316284,2.450000047683716,2.299999952316284,2.3499999046325684,7411
2015-05-15,2.4000000953674316,2.5,2.299999952316284,2.4000000953674316,39643
2015-05-18,2.5,2.5,2.25,2.4000000953674316,41469
2015-05-19,2.299999952316284,2.5,2.299999952316284,2.4000000953674316,2700
2015-05-20,2.5,2.5,2.200000047683716,2.25,85343
2015-05-21,2.1500000953674316,2.450000047683716,2.1500000953674316,2.4000000953674316,58635
2015-05-22,2.450000047683716,2.450000047683716,2.299999952316284,2.3499999046325684,14024
2015-05-25,2.4000000953674316,2.4000000953674316,2.200000047683716,2.200000047683716,100247
