date,open,high,low,close,volume,capital gains
2022-01-07,72.05000305175781,85.6500015258789,72.05000305175781,85.6500015258789,378000,0.0
2022-01-10,99.0,102.75,95.0999984741211,102.75,574000,0.0
2022-01-11,113.0,113.0,103.19999694824219,113.0,576000,0.0
2022-01-12,108.80000305175781,115.0,102.0,111.0999984741211,428000,0.0
2022-01-13,114.5,122.19999694824219,112.0,122.0999984741211,566000,0.0
2022-01-14,126.0,134.3000030517578,125.0,134.3000030517578,576000,0.0
2022-01-17,137.0,137.0,127.5999984741211,127.5999984741211,190000,0.0
2022-01-18,121.25,121.25,121.25,121.25,30000,0.0
2022-01-19,118.30000305175781,122.9000015258789,115.19999694824219,120.19999694824219,750000,0.0
2022-01-20,121.80000305175781,122.4000015258789,116.1500015258789,119.1500015258789,102000,0.0
2022-01-21,115.25,121.69999694824219,113.19999694824219,113.6500015258789,154000,0.0
2022-01-24,112.0,112.0,108.0,108.0,80000,0.0
2022-01-25,104.0999984741211,106.5,102.5999984741211,102.5999984741211,86000,0.0
2022-01-27,97.5,107.69999694824219,97.5,107.6500015258789,314000,0.0
2022-01-28,110.80000305175781,113.0,110.80000305175781,113.0,176000,0.0
2022-01-31,115.9000015258789,117.44999694824219,113.0,115.0999984741211,134000,0.0
2022-02-01,112.0999984741211,117.5,109.5,116.3499984741211,86000,0.0
2022-02-02,118.0,120.30000305175781,112.5,115.1500015258789,62000,0.0
2022-02-03,115.0,116.80000305175781,112.5,115.44999694824219,70000,0.0
2022-02-04,113.30000305175781,114.19999694824219,112.30000305175781,113.19999694824219,26000,0.0
2022-02-07,112.4000015258789,113.0999984741211,102.0,108.30000305175781,166000,0.0
2022-02-08,106.0,109.4000015258789,103.0999984741211,105.5,64000,0.0
2022-02-09,106.80000305175781,107.30000305175781,104.0,104.5999984741211,34000,0.0
2022-02-10,107.25,108.0,106.94999694824219,107.8499984741211,12000,0.0
2022-02-11,105.0999984741211,105.0999984741211,102.6500015258789,103.8499984741211,16000,0.0
2022-02-14,103.0,107.4000015258789,98.0,101.94999694824219,70000,0.0
2022-02-15,103.55000305175781,104.5,100.0,103.05000305175781,70000,0.0
2022-02-16,104.0,106.0,102.5,104.55000305175781,28000,0.0
2022-02-17,104.55000305175781,105.0,103.80000305175781,104.8499984741211,16000,0.0
2022-02-18,104.8499984741211,105.0,102.5999984741211,103.25,10000,0.0
2022-02-21,102.5,102.5,96.4000015258789,97.1500015258789,118000,0.0
2022-02-22,98.9000015258789,98.9000015258789,93.05000305175781,93.75,44000,0.0
2022-02-23,98.05000305175781,99.0,95.0999984741211,98.3499984741211,26000,0.0
2022-02-24,91.4000015258789,97.3499984741211,88.55000305175781,89.0999984741211,120000,0.0
2022-02-25,94.69999694824219,94.69999694824219,89.3499984741211,93.19999694824219,44000,0.0
