date,open,high,low,close,volume,capital gains
2024-01-08,100.0,105.0,100.0,105.0,2025600,0.0
2024-01-09,110.25,110.25,105.0999984741211,110.25,1030400,0.0
2024-01-10,111.0,115.75,104.75,115.69999694824219,1142400,0.0
2024-01-11,120.0,120.0,112.0,114.4000015258789,568000,0.0
2024-01-12,110.69999694824219,111.69999694824219,108.69999694824219,108.75,307200,0.0
2024-01-15,108.75,108.75,108.75,108.75,0,0.0
2024-01-16,101.0999984741211,108.55000305175781,101.0999984741211,107.5999984741211,340800,0.0
2024-01-17,107.94999694824219,112.0,105.0,106.5999984741211,211200,0.0
2024-01-18,107.0999984741211,110.5,105.19999694824219,109.8499984741211,211200,0.0
2024-01-19,110.9000015258789,115.30000305175781,110.0,115.30000305175781,145600,0.0
2024-01-23,128.5,128.89999389648438,110.1500015258789,111.4000015258789,489600,0.0
2024-01-24,113.5,113.69999694824219,105.55000305175781,107.30000305175781,160000,0.0
2024-01-25,109.05000305175781,111.0,106.05000305175781,108.1500015258789,123200,0.0
2024-01-29,107.5,107.5,96.5,98.30000305175781,315200,0.0
2024-01-30,101.0,103.4000015258789,98.5,100.30000305175781,113600,0.0
2024-01-31,100.30000305175781,101.8499984741211,96.05000305175781,98.30000305175781,137600,0.0
2024-02-01,98.3499984741211,100.19999694824219,94.75,96.94999694824219,108800,0.0
2024-02-02,98.9000015258789,99.5,95.5,95.75,81600,0.0
2024-02-05,95.75,96.0,86.5999984741211,87.9000015258789,150400,0.0
2024-02-06,87.5,95.44999694824219,86.5999984741211,90.6500015258789,99200,0.0
2024-02-07,90.6500015258789,91.1500015258789,88.3499984741211,89.0,86400,0.0
2024-02-08,87.55000305175781,93.0,86.5999984741211,91.94999694824219,41600,0.0
2024-02-09,92.0,96.5,92.0,95.0,56000,0.0
2024-02-12,95.0,95.0,86.0,89.30000305175781,84800,0.0
2024-02-13,84.0,89.44999694824219,82.5999984741211,88.5,32000,0.0
2024-02-14,85.69999694824219,92.0,85.0,90.19999694824219,33600,0.0
2024-02-15,90.5,92.0,88.19999694824219,90.8499984741211,40000,0.0
2024-02-16,93.4000015258789,93.4000015258789,89.0999984741211,90.0999984741211,25600,0.0
2024-02-19,90.0999984741211,93.5,89.4000015258789,90.6500015258789,86400,0.0
2024-02-20,89.0,90.5,88.5,90.0,14400,0.0
2024-02-21,89.0,89.5,86.05000305175781,87.19999694824219,81600,0.0
2024-02-22,87.0,88.9000015258789,85.5999984741211,86.44999694824219,30400,0.0
2024-02-23,86.5,87.8499984741211,85.0,85.75,57600,0.0
2024-02-26,90.0,90.0,84.5,85.5999984741211,160000,0.0
2024-02-27,85.5999984741211,85.5999984741211,80.0,81.69999694824219,214400,0.0
2024-02-28,83.9000015258789,89.0,83.9000015258789,85.5999984741211,264000,0.0
2024-02-29,89.4000015258789,97.0999984741211,85.0,93.9000015258789,643200,0.0
2024-03-01,101.55000305175781,107.80000305175781,97.05000305175781,106.4000015258789,548800,0.0
2024-03-04,106.30000305175781,111.0,94.0,101.0,363200,0.0
2024-03-05,103.75,110.0,96.19999694824219,102.19999694824219,411200,0.0
2024-03-06,107.94999694824219,107.94999694824219,99.05000305175781,101.4000015258789,176000,0.0
2024-03-07,103.5,106.5,102.5,105.30000305175781,131200,0.0
2024-03-11,107.69999694824219,107.69999694824219,100.0,100.75,107200,0.0
2024-03-12,100.0,100.4000015258789,92.0,92.4000015258789,147200,0.0
2024-03-13,92.4000015258789,92.4000015258789,80.0,81.3499984741211,112000,0.0
2024-03-14,78.0,91.5,78.0,88.0999984741211,52800,0.0
2024-03-18,87.3499984741211,89.5,87.0,89.5,19200,0.0
2024-03-19,90.0,92.5999984741211,86.19999694824219,86.8499984741211,36800,0.0
2024-03-20,88.0,89.80000305175781,86.8499984741211,88.44999694824219,14400,0.0
2024-03-21,91.0,91.0,86.25,87.19999694824219,80000,0.0
2024-03-22,88.94999694824219,92.0,87.0,91.0999984741211,100800,0.0
2024-03-26,92.0,92.0,87.4000015258789,88.05000305175781,51200,0.0
2024-03-27,89.0,89.0,81.19999694824219,84.0999984741211,104000,0.0
2024-03-28,85.0,89.0,84.1500015258789,86.8499984741211,100800,0.0
