date,open,high,low,close,volume,capital gains
2017-03-17,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,50400,0.0
2017-03-20,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-21,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-22,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-23,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-24,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-27,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-28,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-29,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-30,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-03-31,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-03,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-05,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-06,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-07,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-10,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-11,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-12,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-13,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-17,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-18,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,0.0
2017-04-19,16.75,16.75,16.75,16.75,7200,0.0
2017-04-20,16.75,16.75,16.75,16.75,0,0.0
2017-04-21,16.75,16.75,16.75,16.75,0,0.0
2017-04-24,16.75,16.75,16.75,16.75,0,0.0
2017-04-25,16.75,16.75,16.75,16.75,0,0.0
2017-04-26,16.75,16.75,16.75,16.75,0,0.0
2017-04-27,16.75,16.75,16.75,16.75,0,0.0
2017-04-28,16.75,16.75,16.75,16.75,0,0.0
2017-05-02,16.75,16.75,16.75,16.75,0,0.0
2017-05-03,16.75,16.75,16.75,16.75,0,0.0
2017-05-04,16.75,16.75,16.75,16.75,0,0.0
