Date,ONGC.NS,RELIANCE.NS
2024-07-08,75.74424884746367,72.61148939630857
2024-07-09,80.25703117140684,75.9794161361788
2024-07-10,80.43982017064567,72.61839113189461
2024-07-11,86.86981983961047,77.68166600258375
2024-07-12,87.4246216773978,83.49512202727479
2024-07-15,94.61417740195347,82.57995309805007
2024-07-16,94.56171874570946,67.22012629780656
2024-07-18,95.59662677592716,66.07473743810877
2024-07-19,79.99999187996642,47.00730114953052
2024-07-22,81.62589291050101,36.51208901219595
2024-07-23,74.44027752595207,33.070430033660784
2024-07-24,76.18210465689125,37.29703842596504
2024-07-25,79.50776572995143,36.304015601376555
2024-07-26,73.43412168333373,30.772972214940864
2024-07-29,70.34357671562194,30.36928100101713
2024-07-30,70.9422239638408,30.921454096364883
2024-07-31,71.4967088733879,30.667318956512545
2024-08-01,71.81601930286428,34.44789829057936
2024-08-02,62.2210391008539,26.80951856018916
2024-08-05,43.784885647787824,21.338439430360424
2024-08-06,41.9307773972397,25.887723205400818
2024-08-07,48.8841089436805,25.393770900528338
2024-08-08,51.375746150122005,27.127606447040833
2024-08-09,54.91426001834731,43.486856233723415
2024-08-12,61.15906964985462,43.29440928250983
2024-08-13,56.72011123751735,41.923730512421166
2024-08-14,46.61953038213768,42.24817019160541
2024-08-16,49.09420082942795,42.16743052879841
2024-08-19,51.045282725697,43.36946378492639
2024-08-20,49.243706861105004,46.9930171060243
2024-08-21,47.27120186418164,49.57691351540289
2024-08-22,42.428198992510744,46.77180722544827
2024-08-23,45.894040387019594,51.65785584778753
2024-08-26,60.55986928559728,76.30876058596739
2024-08-27,63.71509354893882,68.02625309828316
2024-08-28,50.88624538242994,64.75588561186552
2024-08-29,57.19708562042873,77.95305715709303
2024-08-30,50.67431623325534,66.33279061164009
2024-09-02,38.115197317480536,76.01530654513155
2024-09-03,39.12838092053012,70.92715204961446
2024-09-04,39.04453102559732,73.20739843759215
2024-09-05,35.162922979235745,57.63660585238828
2024-09-06,25.947619579616003,41.72369845390645
2024-09-09,23.68900351153269,37.79601442250394
2024-09-10,23.296076115608514,36.28645096867629
2024-09-11,20.6896720501868,33.91409891629732
2024-09-12,31.76816869154254,44.11381111969827
2024-09-13,20.55017547602222,37.95391459611451
2024-09-16,20.614387618104487,40.61594856125671
2024-09-17,23.669576220036888,41.55023001693192
2024-09-18,20.030554925605202,29.48423439517977
2024-09-19,17.21900287498603,35.203775304632146
2024-09-20,19.66588684995449,39.51604190510917
2024-09-23,31.175225477908356,44.567108571929055
2024-09-24,38.88476693408699,41.22975777369531
2024-09-25,40.23077872914416,50.38528888224256
2024-09-26,39.68134814602137,66.17822759694654
2024-09-27,48.53449777247871,74.84887026357026
2024-09-30,51.81488283681784,54.253782685111254
2024-10-01,56.590714420522346,53.72985717214515
