Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-05,19.374391269511705,19.44268946612251,18.583404764757443,18.79941749572754,128442,0.0,0.0
2015-02-06,18.5834047832081,19.034489655140916,18.140263006529082,18.29750633239746,105106,0.0,0.0
2015-02-09,18.044960856440692,18.60722892156245,17.506520248328712,17.7257080078125,116985,0.0,0.0
2015-02-10,17.473163240562986,18.106904514950134,16.235858238765687,17.204736709594727,338112,0.0,0.0
2015-02-11,17.779709873972006,19.04401733893007,17.15390988598146,18.775588989257812,282001,0.0,0.0
2015-02-12,18.742233966026365,19.63169605319523,18.742233966026365,19.17902374267578,205870,0.0,0.0
2015-02-13,19.315620146100414,19.790528735646728,19.05989929318848,19.665050506591797,311459,0.0,0.0
2015-02-16,20.203493437534302,20.203493437534302,18.462689851284217,18.91853904724121,672456,0.0,0.0
2015-02-18,19.536403352131167,19.536403352131167,18.897895694581226,19.18855857849121,270182,0.0,0.0
2015-02-19,19.094843065134256,19.44109841353706,18.424570475495063,18.708881378173828,134955,0.0,0.0
2015-02-20,18.807353765309028,19.53639562514091,18.805764415946747,19.204435348510742,252453,0.0,0.0
2015-02-23,19.061487727513885,19.28226297620307,18.542104779676663,19.02813148498535,165588,0.0,0.0
2015-02-24,19.855647421298965,20.17172514953021,19.409327086437706,19.566572189331055,1049855,0.0,0.0
2015-02-25,19.599928692891606,20.076426619732267,19.218731447522146,19.312442779541016,204091,0.0,0.0
2015-02-26,19.207182193056386,19.427276840523504,18.924887323005105,19.042909622192383,105166,0.082916,0.0
2015-02-27,19.618660876298126,20.255020786821863,19.457578301363572,19.61547088623047,733119,0.0,0.0
2015-03-02,19.870652481916654,19.870652481916654,19.20399045423778,19.385807037353516,116050,0.0,0.0
2015-03-03,19.518184744142612,19.661725140976387,19.267787923074188,19.481504440307617,92653,0.0,0.0
2015-03-04,19.489476288562763,19.802075165146316,19.13860303086581,19.345937728881836,229297,0.0,0.0
2015-03-05,19.36029152343558,19.518184120525913,18.98230426969296,19.070022583007812,81799,0.0,0.0
2015-03-09,18.66013632107217,19.28054629805335,18.66013632107217,18.810056686401367,103689,0.0,0.0
2015-03-10,18.8754402550975,18.979106643897406,18.596335475866468,18.672889709472656,70311,0.0,0.0
2015-03-11,19.068424122254743,19.392185134998012,18.65853889395817,18.988679885864258,70281,0.0,0.0
2015-03-12,19.170501641763625,19.170501641763625,18.56444564798205,18.760616302490234,69980,0.0,0.0
2015-03-13,19.48947570516065,20.255022004737693,18.920103717440035,19.044504165649414,833371,0.0,0.0
2015-03-16,19.170497596988152,19.266189952622806,18.661728164407887,19.004629135131836,73538,0.0,0.0
2015-03-17,19.006222207964527,19.202392810711178,18.82121748602055,18.89139175415039,78844,0.0,0.0
2015-03-18,18.948807093901173,19.10829556101117,18.671296354001903,18.86427879333496,114633,0.0,0.0
2015-03-19,18.95678002978075,19.011006178767918,18.666511183549847,18.781343460083008,131005,0.0,0.0
2015-03-20,18.56444091100857,18.56444091100857,18.06205331454667,18.3236141204834,162151,0.0,0.0
2015-03-23,18.27417726703247,18.65854452914457,17.720751512336733,18.101930618286133,72422,0.0,0.0
2015-03-24,17.89937517888761,18.018991537538025,17.6075103832774,17.664926528930664,153679,0.0,0.0
2015-03-25,18.180078035928126,18.180078035928126,16.907359924011583,17.298107147216797,166312,0.0,0.0
2015-03-26,17.385825508493404,17.774974944907825,16.58678711436232,16.797311782836914,110503,0.0,0.0
2015-03-27,17.25663789614963,17.25663789614963,16.6186839575652,16.774982452392578,71397,0.0,0.0
2015-03-30,17.38422853964168,17.862692165326283,16.841966951147118,17.558069229125977,96121,0.0,0.0
2015-03-31,17.92649056721186,18.660136965269416,17.559667368183085,18.2008113861084,166463,0.0,0.0
