Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-09,11984.736482389526,12445.687885558355,11792.704307888534,12142.5205078125,14200,0.0,0.0
2015-03-10,12141.458107558548,12297.259658065563,11892.544387813612,12074.0673828125,5980,0.0,0.0
2015-03-11,12123.022144488828,12123.022144488828,11708.165873384647,11842.302734375,3390,0.0,0.0
2015-03-12,11882.08561710659,12314.780435720475,11819.073006051554,12276.7978515625,8313,0.0,0.0
2015-03-13,12444.446377432854,12648.509247780692,12169.165599544865,12441.03515625,8511,0.0,0.0
2015-03-16,12445.688042450207,12514.830753797152,12261.30747885835,12427.7109375,5012,0.0,0.0
2015-03-17,12445.689189548792,12537.925394927732,12410.65687923747,12517.919921875,5696,0.0,0.0
2015-03-18,12592.867880832357,12885.433326404516,12466.93543878861,12698.978515625,6098,0.0,0.0
2015-03-19,12803.388044696714,13121.444559343918,12694.879888481093,12952.966796875,9589,0.0,0.0
2015-03-20,12998.831226850447,13620.193797552376,12998.831226850447,13316.5654296875,23129,0.0,0.0
2015-03-23,13321.49695403687,13458.8145715565,12563.09317044184,12904.888671875,8422,0.0,0.0
2015-03-24,13043.67887026953,13183.208482446273,11989.805448843008,12353.587890625,13158,0.0,0.0
2015-03-25,12445.687008133278,12768.768003896133,12445.687008133278,12721.1513671875,5339,0.0,0.0
2015-03-26,12638.551552069892,13140.804077308736,12557.470011087527,13032.4345703125,7389,0.0,0.0
2015-03-27,13264.936597764992,13264.936597764992,12685.612539333317,13066.404296875,5663,0.0,0.0
2015-03-30,13180.396949018877,13275.444756998011,12753.60191521893,12872.896484375,5819,0.0,0.0
2015-03-31,12929.687867049723,12973.155947876156,12602.412345281264,12658.6943359375,4285,0.0,0.0
2015-04-01,12631.913445574231,13275.401665177998,12631.913445574231,13234.28515625,6968,0.0,0.0
2015-04-06,13338.687555228178,13338.687555228178,12995.555198081363,13076.63671875,2940,0.0,0.0
2015-04-07,12866.307411270885,13117.940989120027,12537.55719563575,12647.7705078125,14208,0.0,0.0
2015-04-08,12722.304747665312,12989.610648630807,12649.428510281285,12914.521484375,4388,0.0,0.0
2015-04-09,13021.87767344112,13224.650384068296,12815.463266520452,13094.5234375,26150,0.0,0.0
2015-04-10,13092.863007648146,13224.695102430125,12911.248163787655,13037.087890625,3275,0.0,0.0
2015-04-13,13037.54635572128,13037.54635572128,12633.753023533052,12663.25390625,6476,0.0,0.0
2015-04-15,12676.165170379623,12676.165170379623,12540.645440921746,12606.837890625,20299,0.0,0.0
2015-04-16,12634.723960956175,12635.876339471852,12170.039028354016,12365.8974609375,7862,0.0,0.0
2015-04-17,12362.716097752837,12362.99248852363,11754.260271912652,11866.1328125,8541,0.0,0.0
2015-04-20,12066.466334937742,12196.77696682701,11551.444852180079,12015.8994140625,10603,0.0,0.0
2015-04-21,12205.672697135615,12445.689768969212,12012.395384419915,12371.845703125,4982,0.0,0.0
2015-04-22,12444.445038853539,12536.035732568922,11984.737794042945,12259.4189453125,5362,0.0,0.0
