Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01,185.35567562075295,186.0111787354641,184.54890521979016,185.12876892089844,2538978,0.0,0.0
2015-01-02,185.179195855446,186.64146940670017,185.179195855446,185.70864868164062,6599676,0.0,0.0
2015-01-05,185.91031707627187,187.47343530817972,185.3304534275689,186.43975830078125,8238987,0.0,0.0
2015-01-06,185.88510817147733,186.26328213983973,181.0192690091509,181.64956665039062,13093039,0.0,0.0
2015-01-07,180.01082771972384,183.54045563964453,177.9938958310613,178.27122497558594,11960580,0.0,0.0
2015-01-08,179.22926581927413,183.21270723388582,179.22926581927413,182.7336883544922,8449164,0.0,0.0
2015-01-09,183.08662481226426,184.47325886213886,178.0443013403372,179.96038818359375,10808512,0.0,0.0
2015-01-12,180.23771764084336,182.20421537369828,179.55699756562322,180.4394073486328,9868950,0.0,0.0
2015-01-13,180.71672084924086,182.38068387660692,180.16206265980125,181.57391357421875,11623503,0.0,0.0
2015-01-14,181.3722328610331,181.3722328610331,174.51467918083682,175.3718719482422,16224852,0.0,0.0
2015-01-15,178.0443073919525,181.47309023923395,176.93500242253896,180.46463012695312,16047717,0.0,0.0
2015-01-16,180.74192629005935,182.50674570355758,178.6745838819756,181.57391357421875,10813588,0.0,0.0
2015-01-19,181.5234918693044,182.40590157954222,179.5065603348834,180.9184112548828,6853234,0.0,0.0
2015-01-20,181.06969963077964,187.4986573839161,180.56547534411092,187.1204833984375,12014673,0.0,0.0
2015-01-21,188.05331861928664,188.05331861928664,176.07781273640302,177.84262084960938,32448214,0.0,0.0
2015-01-22,177.9938737514592,181.4226563827599,175.90131424538237,176.80892944335938,29627575,0.0,0.0
2015-01-23,178.22080459251032,179.48138848003362,175.8761326416821,176.20387268066406,16747498,0.0,0.0
2015-01-27,176.48118856792928,182.02774802351024,176.15343701261892,181.59915161132812,25255861,0.0,0.0
2015-01-28,181.5235342386811,183.26313708332623,180.28816728057302,182.6832733154297,12317799,0.0,0.0
2015-01-29,183.03619937450094,187.5742869622985,181.52350351190177,186.6666717529297,21093768,0.0,0.0
2015-01-30,186.56584409423064,187.57430424858225,183.3639678123995,185.83470153808594,13917157,0.0,0.0
2015-02-02,185.05313335099015,186.1624382783148,181.2209712205766,181.85125732421875,8493861,0.0,0.0
2015-02-03,182.2546341811464,185.05313075544035,182.2546341811464,184.57411193847656,6298908,0.0,0.0
2015-02-04,185.30525994245951,186.8179559419898,184.2211603733992,185.35568237304688,5807209,0.0,0.0
2015-02-05,184.49845843011448,187.6246947636806,183.3891420621669,186.0111541748047,9478186,0.0,0.0
2015-02-06,184.59932531505154,188.78445609416775,184.59932531505154,188.3306427001953,7324875,0.0,0.0
2015-02-09,187.14570053440576,188.50712919141924,184.90186206357808,185.50694274902344,7188007,0.0,0.0
2015-02-10,185.60778459304362,187.5742939035756,185.00271545837592,186.51541137695312,8011749,0.0,0.0
2015-02-11,187.09528374653001,188.02811601717625,185.48174289733106,187.1457061767578,4545472,0.0,0.0
2015-02-12,187.57430277396256,187.57430277396256,183.8682022145685,186.7675323486328,5294224,0.0,0.0
2015-02-13,187.1709085579429,191.2299776000961,186.59104484933655,190.62490844726562,9026029,0.0,0.0
2015-02-16,190.8013572732018,197.15467490951605,190.5996675808624,196.44876098632812,11606473,0.0,0.0
2015-02-18,194.12927144588704,202.70122133564095,194.12927144588704,198.2891845703125,13669321,0.0,0.0
2015-02-19,198.137957523288,198.51613149841484,193.42338555578596,196.2722930908203,6980185,0.0,0.0
2015-02-20,195.38989557991204,200.63389728322943,193.80156026200603,199.70106506347656,8931408,0.0,0.0
2015-02-23,199.17165247966904,201.08772797053277,196.2723107160339,196.7765350341797,5852227,0.0,0.0
2015-02-24,197.65892542506805,200.68431702299304,195.96974537197244,199.52456665039062,8238781,0.0,0.0
2015-02-25,200.4826518514079,201.69279017308307,198.39006906921614,201.54153442382812,15751801,0.0,0.0
2015-02-26,200.6339116593905,202.3987313703983,197.63372507525003,199.4993896484375,11702547,0.0,0.0
2015-02-27,199.07077147145787,200.00358052018328,193.6502629374571,198.51611328125,34417138,0.0,0.0
2015-03-02,180.51506669486014,180.51506669486014,172.44735054182485,173.07763671875,50722677,0.0,0.0
2015-03-03,173.2036984705091,174.2121586611981,170.9346543857426,172.22044372558594,44994019,0.0,0.0
2015-03-04,173.96005268969566,176.88460004182375,172.90117002883622,173.58187866210938,32171962,0.0,0.0
2015-03-05,174.96847546030145,176.02736943543604,172.29605239262733,174.59030151367188,20499397,0.0,0.0
2015-03-09,173.3045591119162,173.90963989779394,170.05225998616004,170.60691833496094,16301916,0.0,0.0
2015-03-10,171.43887567461962,172.8002927769582,168.96813052903155,170.70773315429688,13036884,0.0,0.0
2015-03-11,171.61536488059832,171.79184916671858,170.20352521450164,170.53126525878906,12702703,0.0,0.0
2015-03-12,170.95986037776632,175.59879311393564,170.8337985341793,174.79202270507812,27323128,0.0,0.0
2015-03-13,175.62395586132686,176.48114849103226,169.77486316339412,171.13629150390625,15651522,0.0,0.0
2015-03-16,171.94312149777633,172.24566764583017,168.91772926297116,169.1194305419922,8595247,0.0,0.0
2015-03-17,171.18674961256986,171.76662484023203,169.54800340744174,171.43887329101562,10940511,0.0,0.0
2015-03-18,172.06914566804159,172.06914566804159,169.42192804237942,169.7496795654297,8757088,0.0,0.0
2015-03-19,170.68253468749853,171.86747911005196,167.15290686449126,168.0857391357422,10462350,0.0,0.0
2015-03-20,168.26220571920402,168.26220571920402,164.58132228094956,165.1107635498047,10572912,0.0,0.0
2015-03-23,164.55609952120986,166.2957020929293,163.87539099099314,165.08554077148438,11393547,0.0,0.0
2015-03-24,164.93429631850591,166.29572510831525,164.37963800766596,164.65696716308594,10715485,0.0,0.0
2015-03-25,165.71584647601603,165.71584647601603,164.37962325248517,164.75779724121094,7249756,0.0,0.0
2015-03-26,164.379622612276,165.86711311731298,161.65677682862764,162.56439208984375,24193096,0.0,0.0
2015-03-27,163.37113134738877,164.00141735899808,158.88346678480752,160.0936279296875,21403252,0.0,0.0
2015-03-30,161.1777641081475,166.14444856006725,161.1777641081475,165.16119384765625,16516767,0.0,0.0
2015-03-31,165.7914798739362,165.7914798739362,163.37116857362892,164.3040008544922,12279565,0.0,0.0
2015-04-01,164.30400089412836,167.90925663006897,163.44680802970575,167.63192749023438,10839778,0.0,0.0
2015-04-06,166.0688005325492,172.2708515293954,165.9427386915597,171.94309997558594,19315927,0.0,0.0
2015-04-07,171.9935367225606,172.95158602012285,169.92619391213793,171.74142456054688,10549575,0.0,0.0
2015-04-08,172.44731966308856,174.9432700190344,172.19520754565318,174.59030151367188,12381639,0.0,0.0
